日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
1994-09-12 15:00,100.37,100.37,99.91,100.00,289.50,65,100.14
1994-09-14 15:00,101.74,101.93,101.74,101.74,1844.50,225,101.83
1994-09-16 15:00,102.11,102.11,101.28,101.28,1787.00,271,101.70
1994-09-19 15:00,100.64,101.74,100.64,101.74,1719.00,500,101.19
1994-09-21 15:00,101.56,101.56,101.56,101.56,1649.00,135,101.56
1994-09-26 15:00,101.74,102.01,101.74,101.97,1716.50,95,101.88
1994-09-27 15:00,102.31,102.64,102.06,102.17,1967.50,1291,102.35
1994-10-18 15:00,102.79,102.90,102.79,102.84,2237.00,228,102.84
1994-10-19 15:00,102.99,103.52,102.99,103.43,2323.50,429,103.26
1994-10-21 15:00,103.37,103.72,103.37,103.57,2115.00,679,103.54
1994-10-24 15:00,103.71,103.79,103.20,103.20,2104.00,311,103.49
1994-10-25 15:00,103.54,103.54,102.90,102.90,2325.00,584,103.22
1994-10-26 15:00,102.73,102.95,102.70,102.72,2355.50,243,102.83
1994-10-27 15:00,102.04,103.42,102.04,103.19,2239.00,523,102.73
1994-10-28 15:00,103.26,103.26,102.88,102.88,2239.00,115,103.07
1994-10-31 15:00,103.48,103.58,103.48,103.48,1615.50,530,103.53
1994-11-01 15:00,103.39,103.48,103.30,103.35,1548.00,145,103.39
1994-11-02 15:00,103.13,103.13,102.82,102.82,1854.00,436,102.97
1994-11-03 15:00,103.14,103.74,103.14,103.58,2005.00,629,103.44
1994-11-04 15:00,103.63,104.13,103.63,103.97,1983.00,1352,103.88
1994-11-07 15:00,104.32,106.95,104.00,106.91,2500.00,2579,105.48
1994-11-08 15:00,107.45,108.06,105.20,106.17,2590.50,2837,106.63
1994-11-09 15:00,106.58,107.59,106.51,107.35,2831.50,5222,107.05
1994-11-10 15:00,107.54,107.54,106.42,107.07,3043.00,2506,106.98
1994-11-11 15:00,106.78,107.28,106.78,107.17,3085.50,1349,107.03
1994-11-14 15:00,107.12,107.27,106.63,106.74,3323.50,1500,106.95
1994-11-15 15:00,106.57,106.78,106.05,106.27,3413.50,816,106.42
1994-11-16 15:00,105.53,106.16,104.61,105.42,3739.50,726,105.39
1994-11-18 15:00,105.47,105.47,104.43,104.65,4004.00,2034,104.95
1994-11-21 15:00,104.62,104.71,104.25,104.28,4234.00,2206,104.48
1994-11-22 15:00,104.43,105.14,104.43,104.98,4302.00,1126,104.78
1994-11-23 15:00,105.08,105.11,104.92,104.95,4277.50,887,105.01
1994-11-24 15:00,104.87,105.07,104.57,104.78,4294.00,415,104.82
1994-11-25 15:00,104.59,104.59,103.70,103.98,4100.50,464,104.14
1994-11-28 15:00,104.34,104.43,104.22,104.29,4025.50,591,104.33
1994-11-29 15:00,104.86,104.86,104.22,104.22,2666.50,296,104.54
1994-11-30 15:00,104.86,104.86,104.22,104.22,2650.00,48,104.54
1994-12-01 15:00,104.60,105.93,104.60,105.33,4107.00,454,105.26
1994-12-02 15:00,105.34,105.86,105.01,105.50,2740.00,757,105.44
1994-12-03 15:00,105.60,105.99,105.60,105.74,4370.00,844,105.80
