日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
1997-04-14 15:00,115.78,118.74,115.63,118.32,615.00,935,117.18
1997-04-15 15:00,117.27,119.96,117.20,117.74,565.00,851,118.58
1997-04-16 15:00,116.83,119.25,116.83,119.17,1162.00,1043,118.04
1997-04-17 15:00,119.44,119.44,117.73,117.80,1437.00,1228,118.58
1997-04-18 15:00,117.35,118.23,116.50,116.58,1920.00,1202,117.37
1997-04-21 15:00,116.14,117.94,115.07,115.82,2078.00,1254,116.50
1997-04-22 15:00,115.60,118.18,115.60,116.25,2093.00,1248,116.89
1997-04-23 15:00,116.32,116.83,115.43,115.43,2201.00,2067,116.13
1997-04-24 15:00,115.48,116.70,114.89,115.12,2108.00,1673,115.80
1997-04-25 15:00,112.71,118.32,112.17,112.17,2087.00,1441,115.25
1997-04-28 15:00,112.72,112.99,110.36,110.36,2122.00,1775,111.67
1997-04-29 15:00,111.96,112.47,110.25,110.82,2814.00,1672,111.36
1997-04-30 15:00,110.57,111.52,108.37,108.60,3882.00,2411,109.94
1997-05-05 15:00,107.76,109.52,107.07,107.71,4335.00,1833,108.29
1997-05-06 15:00,107.93,110.18,107.27,107.56,4550.00,2144,108.73
1997-05-07 15:00,106.93,108.66,106.01,106.61,4421.00,2113,107.33
1997-05-08 15:00,105.41,108.31,104.82,108.05,4576.00,2556,106.57
1997-05-09 15:00,106.18,108.24,105.54,107.70,4575.00,1805,106.89
1997-05-12 15:00,105.92,108.08,105.92,107.45,4460.00,1335,107.00
1997-05-13 15:00,107.63,107.63,105.68,105.83,4535.00,1289,106.65
1997-05-14 15:00,105.98,107.04,104.55,106.45,4558.00,2062,105.80
1997-05-15 15:00,106.08,106.64,104.94,105.13,4613.00,2141,105.79
1997-05-16 15:00,105.41,105.71,104.93,105.13,4652.00,2849,105.32
1997-05-19 15:00,105.06,105.44,104.90,105.21,4658.00,1579,105.17
1997-05-20 15:00,104.75,105.34,104.37,104.91,4610.00,1647,104.85
1997-05-21 15:00,104.06,105.79,102.75,104.23,4575.00,1169,104.27
1997-05-22 15:00,102.45,105.57,102.45,105.57,4685.00,1355,104.01
1997-05-23 15:00,104.78,105.18,104.01,104.06,4667.00,1082,104.60
1997-05-26 15:00,104.70,106.62,104.70,105.85,4576.00,1341,105.66
1997-05-27 15:00,105.27,107.01,103.90,106.45,4732.00,1534,105.45
1997-05-28 15:00,106.89,107.07,105.69,106.84,4684.00,1313,106.38
1997-05-29 15:00,106.80,108.18,106.73,107.26,4723.00,1611,107.45
1997-05-30 15:00,106.85,107.39,105.39,105.39,4904.00,1739,106.39
1997-06-02 15:00,106.35,107.51,105.11,106.33,5270.00,1515,106.31
