日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2019-11-26 15:00,228.95,229.66,227.72,229.19,863845.00,911745,228.83
2019-11-27 15:00,228.95,230.48,228.23,229.94,855053.00,1068263,229.58
2019-11-28 15:00,229.75,229.88,228.78,229.26,825234.00,783824,229.37
2019-11-29 15:00,229.30,230.17,229.17,229.70,813076.00,383682,229.62
2019-12-02 15:00,229.34,230.99,228.81,229.71,807796.00,793760,229.76
2019-12-03 15:00,229.54,230.66,229.54,230.07,814224.00,741882,230.17
2019-12-04 15:00,231.82,235.61,231.69,235.36,905544.00,1611765,233.96
2019-12-05 15:00,234.25,234.91,232.16,233.11,885019.00,1399538,233.23
2019-12-06 15:00,232.65,233.31,231.22,231.61,870164.00,852887,232.44
2019-12-09 15:00,231.78,232.59,228.20,229.00,872983.00,1509546,229.56
2019-12-10 15:00,229.59,229.74,228.72,229.14,869271.00,489801,229.14
2019-12-11 15:00,229.69,229.95,228.88,229.26,857747.00,566823,229.41
2019-12-12 15:00,229.55,231.63,229.38,231.09,852067.00,823251,230.67
2019-12-13 15:00,231.69,233.88,227.86,228.75,848633.00,1677645,230.36
2019-12-16 15:00,229.83,231.76,228.13,231.36,862819.00,1363543,230.14
2019-12-17 15:00,231.57,231.94,230.68,231.45,834091.00,614251,231.26
2019-12-18 15:00,231.65,231.97,230.73,231.74,844372.00,588931,231.31
2019-12-19 15:00,231.33,231.80,230.30,231.22,833808.00,625555,231.07
2019-12-20 15:00,230.97,232.37,230.95,232.15,852829.00,587246,231.66
2019-12-23 15:00,232.10,234.09,231.62,233.99,909558.00,1053983,232.81
2019-12-24 15:00,233.82,236.36,233.34,235.67,912940.00,1052878,234.81
2019-12-25 15:00,235.70,237.70,235.57,237.35,925796.00,760354,236.77
2019-12-26 15:00,237.10,239.34,236.61,238.76,953339.00,827858,238.21
2019-12-27 15:00,239.37,240.22,237.97,238.59,952400.00,1289047,239.11
2019-12-30 15:00,238.90,239.77,238.34,238.84,956257.00,922853,239.12
2019-12-31 15:00,238.78,241.35,238.13,240.76,986418.00,1134953,240.01
2020-01-02 15:00,239.32,239.51,238.08,238.87,974884.00,508812,238.86
2020-01-03 15:00,239.23,243.61,239.16,242.67,1032170.00,1475234,241.33
2020-01-06 15:00,243.21,248.37,241.86,247.15,1044076.00,1502979,245.02
2020-01-07 15:00,247.49,247.77,242.56,244.13,1028076.00,1624910,245.08
2020-01-08 15:00,243.71,251.72,243.56,248.58,1035405.00,1714665,247.37
2020-01-09 15:00,245.85,246.29,238.47,239.47,1016821.00,1872598,243.25
2020-01-10 15:00,241.05,241.15,239.34,239.78,1026255.00,971770,240.20
2020-01-13 15:00,239.87,241.87,239.14,240.20,1027764.00,1196626,240.65
2020-01-14 15:00,240.03,240.25,235.33,236.46,1021982.00,1012748,237.78
2020-01-15 15:00,237.01,239.26,236.68,238.42,1015976.00,791205,237.91
2020-01-16 15:00,238.32,240.00,237.64,238.86,1028450.00,866709,238.96
2020-01-17 15:00,239.39,239.67,238.02,239.16,1042047.00,647391,238.78
2020-01-20 15:00,239.42,240.10,238.31,239.17,1049509.00,695341,239.16
2020-01-21 15:00,239.36,241.80,239.13,241.47,1052678.00,531418,240.66
2020-01-22 15:00,240.25,240.33,237.20,238.40,999841.00,921985,238.64
2020-01-23 15:00,238.73,240.23,238.51,239.39,987307.00,518099,239.33
2020-02-03 15:00,244.55,245.19,243.34,244.08,987427.00,422014,244.20
2020-02-04 15:00,244.21,244.31,241.91,242.43,994624.00,302396,242.80
2020-02-05 15:00,240.64,242.08,239.86,241.58,1019987.00,344510,241.01
2020-02-06 15:00,240.53,240.86,239.74,240.56,1033356.00,280969,240.32
2020-02-07 15:00,242.35,242.79,241.29,241.63,1045545.00,284037,242.12
2020-02-10 15:00,243.16,243.34,241.96,242.06,1058233.00,221597,242.55
2020-02-11 15:00,242.20,242.43,241.49,241.80,1060207.00,212095,241.90
2020-02-12 15:00,241.25,241.32,239.47,240.22,1075989.00,445428,240.32
2020-02-13 15:00,240.94,242.23,240.69,241.87,1068739.00,260130,241.50
2020-02-14 15:00,242.20,242.68,241.62,242.22,1061801.00,228356,242.16
2020-02-17 15:00,242.91,243.99,242.79,243.57,1064718.00,304384,243.53
2020-02-18 15:00,244.09,245.05,243.98,244.44,1054576.00,308551,244.44
2020-02-19 15:00,247.44,249.08,247.37,248.62,1067809.00,519195,248.31
2020-02-20 15:00,249.35,250.74,248.49,249.33,1060639.00,541672,249.65
2020-02-21 15:00,251.45,253.77,251.25,253.38,1043273.00,568067,252.53
2020-02-24 15:00,256.98,258.63,256.18,257.38,1013280.00,639697,257.26
2020-02-25 15:00,254.31,255.85,251.33,251.96,944865.00,834717,253.87
2020-02-26 15:00,251.22,252.85,250.64,252.06,965922.00,691271,251.86
2020-02-27 15:00,251.34,252.91,251.16,251.76,981275.00,596799,252.01
2020-02-28 15:00,250.48,250.88,243.46,245.07,954140.00,1307997,247.17
2020-03-02 15:00,239.28,241.26,238.14,239.97,956936.00,881330,239.80
2020-03-03 15:00,238.46,240.29,238.00,239.05,976633.00,596906,239.47
2020-03-04 15:00,244.89,245.44,243.70,244.35,970970.00,680963,244.43
2020-03-05 15:00,243.60,244.42,243.12,244.21,970179.00,319906,243.67
2020-03-06 15:00,248.10,249.48,247.04,247.94,984988.00,615841,248.03
2020-03-09 15:00,249.87,250.14,240.85,242.95,1020371.00,1328829,245.36
2020-03-10 15:00,243.10,245.10,240.33,242.90,1001314.00,835410,243.35
2020-03-11 15:00,243.04,244.63,242.73,244.05,995916.00,475056,243.79
2020-03-12 15:00,242.29,243.33,238.74,240.36,995045.00,841414,240.58
2020-03-13 15:00,231.06,232.98,227.77,231.30,978679.00,948942,230.22
2020-03-16 15:00,223.27,223.93,220.75,222.47,986482.00,596126,222.35
2020-03-17 15:00,212.02,212.12,207.74,208.02,977947.00,348132,209.43
2020-03-18 15:00,210.33,211.89,204.70,206.87,967555.00,1245924,208.92
2020-03-19 15:00,204.00,205.76,200.29,204.43,965144.00,1230021,203.33
2020-03-20 15:00,204.57,210.72,204.57,210.06,986554.00,1160568,207.71
2020-03-23 15:00,209.77,211.00,207.50,209.75,957250.00,1044370,209.46
2020-03-24 15:00,222.58,222.69,218.68,222.22,957370.00,668932,221.20
2020-03-25 15:00,234.26,234.61,226.92,229.10,953201.00,1060828,229.02
2020-03-26 15:00,228.51,229.36,226.89,228.12,965223.00,743289,228.13
2020-03-27 15:00,228.86,231.80,228.86,231.01,971980.00,694215,230.69
2020-03-30 15:00,230.05,230.12,224.67,225.36,968355.00,892606,226.12
2020-03-31 15:00,225.52,227.37,225.51,226.99,953637.00,500223,226.69
2020-04-01 15:00,223.05,224.58,222.18,223.73,950553.00,424468,223.34
2020-04-02 15:00,223.56,226.73,222.99,226.52,935147.00,539266,224.75
2020-04-03 15:00,228.79,229.91,227.90,229.00,924715.00,493999,228.95
2020-04-07 15:00,239.87,240.12,236.45,237.95,939785.00,599198,237.80
2020-04-08 15:00,233.44,235.94,232.77,234.87,936959.00,510833,234.79
2020-04-09 15:00,235.04,235.74,234.41,235.58,940558.00,305985,235.04
2020-04-10 15:00,239.33,239.51,236.67,237.09,949647.00,282048,237.54
