日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
1995-02-21 15:00,111.50,111.56,111.40,111.47,15287.50,2937,111.48
1995-06-06 15:00,123.79,123.98,123.68,123.75,19037.50,3600,123.83
1995-06-23 15:00,125.69,126.83,125.62,126.77,36.50,661,126.23
1995-06-26 15:00,126.77,126.85,126.48,126.62,3.00,4569,126.66
1995-06-27 15:00,125.42,125.70,124.46,124.55,14162.50,8475,125.08
1995-06-28 15:00,122.37,124.40,122.27,124.23,2412.50,5700,123.33
1995-10-12 15:00,101.90,102.78,101.81,102.55,16062.50,7675,102.29
1996-03-28 15:00,100.62,100.62,100.62,100.62,1700.00,5,100.62
1996-04-02 15:00,111.84,111.93,111.40,111.43,52912.50,368,111.67
1996-04-03 15:00,111.01,111.41,110.95,111.22,52050.00,258,111.18
1996-04-04 15:00,110.73,111.22,110.65,111.14,52376.50,305,110.94
1996-04-05 15:00,111.31,111.36,111.19,111.33,47375.00,99,111.27
1996-04-08 15:00,111.13,111.31,111.07,111.23,51975.00,59,111.19
1996-04-09 15:00,111.23,111.32,111.20,111.28,51150.50,123,111.26
1996-04-10 15:00,111.06,111.63,111.03,111.42,50125.00,266,111.33
1996-04-11 15:00,111.91,112.26,111.83,112.19,50913.00,290,112.04
1996-04-12 15:00,113.19,113.37,112.71,112.94,51087.50,588,113.04
1996-04-15 15:00,112.89,113.01,112.26,112.41,50475.00,303,112.63
1996-04-16 15:00,124.50,124.79,124.42,124.50,45975.00,262,124.60
1996-04-17 15:00,124.82,124.94,124.71,124.81,44537.50,72,124.82
1996-04-18 15:00,125.23,125.32,124.72,124.80,44387.50,166,125.02
1996-04-19 15:00,124.71,124.81,124.62,124.72,44275.00,112,124.71
1996-04-22 15:00,125.84,126.22,125.53,126.14,44362.50,364,125.87
1996-04-23 15:00,125.92,126.45,125.88,126.38,44375.00,140,126.17
1996-04-24 15:00,113.05,113.07,112.71,112.72,45837.50,146,112.89
1996-04-25 15:00,125.96,126.00,125.69,125.74,89975.00,150,125.84
1996-04-26 15:00,125.27,125.61,125.07,125.27,43850.00,192,125.34
1996-04-29 15:00,112.58,112.58,112.03,112.17,44650.00,140,112.30
1996-04-30 15:00,112.23,112.47,112.17,112.46,44800.00,119,112.32
1996-05-06 15:00,112.76,112.92,112.74,112.90,43700.00,179,112.83
1996-05-07 15:00,112.79,112.83,112.77,112.80,43955.00,126,112.80
1996-05-08 15:00,113.24,113.38,112.98,113.02,44387.50,259,113.18
1996-05-09 15:00,113.18,113.25,112.86,112.88,48188.00,422,113.06
1996-05-10 15:00,112.87,113.07,112.69,112.96,48387.50,192,112.88
1996-05-13 15:00,112.90,112.90,112.63,112.66,42975.00,125,112.76
1996-05-14 15:00,126.08,126.12,125.84,125.88,47775.50,109,125.98
1996-05-15 15:00,112.43,112.81,112.33,112.69,44500.00,185,112.57
1996-05-16 15:00,125.54,126.10,125.54,126.04,45175.00,128,125.82
1996-05-17 15:00,126.03,126.05,125.83,125.98,45187.50,60,125.94
1996-05-20 15:00,111.58,111.77,111.38,111.46,49037.50,323,111.58
1996-05-21 15:00,121.81,122.75,121.36,122.30,49342.50,691,122.06
1996-05-22 15:00,110.50,110.62,110.20,110.54,50787.50,399,110.41
1996-05-23 15:00,110.86,111.07,110.80,111.03,50525.00,180,110.94
1996-05-24 15:00,123.07,123.13,122.75,122.93,50151.50,233,122.94
1996-05-27 15:00,111.05,111.12,110.92,110.99,49725.00,113,111.02
1996-05-28 15:00,122.83,122.86,122.54,122.58,49100.00,66,122.70
1996-05-29 15:00,122.67,122.80,122.60,122.66,49137.50,28,122.70
1996-05-30 15:00,111.06,111.17,110.94,111.04,50475.00,47,111.05
1996-05-31 15:00,110.46,110.77,109.93,110.25,51262.50,237,110.35
1996-06-01 15:00,121.32,121.44,120.08,120.12,50450.00,282,120.76
1996-06-04 15:00,109.11,109.49,109.06,109.43,48642.50,568,109.27
1996-06-05 15:00,108.72,108.80,108.08,108.09,50025.00,661,108.44
1996-06-06 15:00,105.60,105.64,105.00,105.00,49337.50,504,105.32
1996-06-07 15:00,103.44,104.74,103.43,104.49,49700.00,1033,104.08
1996-06-10 15:00,106.42,107.03,106.32,106.92,47787.50,796,106.67
1996-06-11 15:00,106.55,106.60,105.79,105.83,51462.50,365,106.20
1996-06-12 15:00,103.33,103.60,102.62,102.64,54612.50,661,103.11
1996-06-13 15:00,104.06,104.19,103.35,103.66,53275.00,479,103.77
1996-06-14 15:00,101.12,101.53,100.26,100.35,59675.00,968,100.89
1996-06-17 15:00,97.77,98.59,97.28,97.61,59887.50,946,97.93
1996-06-18 15:00,98.42,99.72,97.90,99.65,63675.00,736,98.81
1996-06-19 15:00,100.25,100.76,99.54,99.93,62212.50,704,100.15
1996-06-20 15:00,101.19,101.58,100.87,101.48,59982.50,1809,101.23
1996-06-21 15:00,100.89,101.24,100.13,100.26,63375.00,2929,100.69
1996-06-24 15:00,98.82,99.16,98.77,98.80,75845.00,5313,98.96
1996-06-25 15:00,98.29,99.29,97.81,99.14,113717.50,3596,98.55
1996-06-26 15:00,97.71,97.87,97.47,97.61,80960.00,1485,97.67
1996-06-27 15:00,98.72,98.97,97.46,97.55,82752.50,4345,98.21
1996-06-28 15:00,98.45,98.87,98.04,98.61,83095.00,3367,98.45
1996-07-01 15:00,98.35,98.51,97.37,97.57,81690.00,2212,97.94
1996-07-02 15:00,95.89,97.00,95.81,96.78,85155.00,3920,96.40
1996-07-03 15:00,96.60,97.18,96.33,96.45,86175.00,1703,96.75
1996-07-04 15:00,96.78,96.95,96.52,96.66,86432.50,1515,96.73
1996-07-05 15:00,96.55,96.82,96.02,96.30,80827.50,1125,96.42
1996-07-08 15:00,97.06,97.24,95.95,96.17,86497.50,1450,96.59
1996-07-09 15:00,96.37,96.58,95.57,95.99,86952.50,1647,96.08
1996-07-10 15:00,95.87,96.10,95.39,95.70,87022.50,1115,95.74
1996-07-11 15:00,94.91,95.06,93.63,93.68,89150.00,1784,94.35
1996-07-12 15:00,90.97,91.40,90.80,90.96,97890.00,5246,91.10
1996-07-15 15:00,90.80,92.31,90.36,92.06,99182.50,3588,91.34
1996-07-16 15:00,89.35,90.15,89.00,89.34,95097.50,3350,89.58
1996-07-17 15:00,95.39,95.46,94.79,94.85,90470.00,2265,95.12
1996-07-18 15:00,90.89,91.05,90.67,90.90,94047.50,1910,90.86
1996-07-19 15:00,91.64,92.78,91.58,92.62,96012.50,3043,92.18
1996-07-22 15:00,92.49,92.68,92.11,92.21,96395.00,1659,92.40
1996-07-23 15:00,92.16,92.54,92.07,92.34,79725.00,1924,92.30
1996-07-24 15:00,93.93,94.70,93.81,94.67,93955.00,3664,94.26
1996-07-25 15:00,94.29,94.42,93.73,93.88,90527.50,2919,94.07
1996-07-26 15:00,95.70,95.87,95.42,95.79,85415.00,5931,95.65
1996-07-29 15:00,94.61,94.91,94.31,94.55,84890.00,2838,94.61
1996-07-30 15:00,94.01,94.75,93.90,94.69,90492.50,3187,94.32
1996-07-31 15:00,99.32,99.69,99.16,99.51,75075.00,684,99.42
1996-08-01 15:00,94.91,95.48,94.78,95.25,91077.50,2578,95.13
1996-08-02 15:00,94.35,94.66,94.19,94.50,91757.50,1166,94.43
1996-08-05 15:00,94.57,94.90,94.35,94.75,90657.50,1291,94.62
1996-08-06 15:00,93.83,94.05,93.68,93.90,92222.50,2453,93.86
1996-08-07 15:00,94.77,94.91,94.64,94.70,92355.00,2199,94.77
1996-08-08 15:00,94.92,94.99,94.52,94.56,93450.00,768,94.76
1996-08-09 15:00,94.48,94.86,94.36,94.76,91640.00,986,94.61
1996-08-12 15:00,94.82,95.27,94.77,95.21,90135.00,1425,95.02
1996-08-13 15:00,94.31,94.80,94.23,94.66,67502.50,1585,94.52
1996-08-14 15:00,94.75,94.82,94.53,94.65,90070.00,597,94.67
1996-08-15 15:00,95.06,95.11,94.73,94.83,88485.00,1677,94.92
1996-08-16 15:00,94.14,94.34,94.07,94.20,81780.00,663,94.20
1996-08-19 15:00,92.99,93.60,92.80,93.41,83055.00,1936,93.20
1996-08-20 15:00,94.29,94.32,94.13,94.15,82080.00,617,94.22
1996-08-21 15:00,93.75,93.91,93.62,93.77,80832.50,2456,93.77
1996-08-22 15:00,99.62,99.64,98.86,98.93,78677.50,1658,99.25
1996-08-23 15:00,93.08,93.09,92.57,92.60,84082.50,2112,92.82
1996-08-26 15:00,92.63,92.88,92.51,92.75,84990.00,1684,92.70
1996-08-27 15:00,92.11,92.42,92.07,92.35,71227.50,517,92.25
1996-08-28 15:00,92.59,93.29,92.52,93.22,82875.00,1269,92.90
1996-08-29 15:00,93.00,93.13,92.96,93.10,78560.00,560,93.04
1996-08-30 15:00,93.51,93.70,93.40,93.56,82812.50,1602,93.54
1996-09-02 15:00,95.49,95.54,95.37,95.41,161260.00,4186,95.46
1996-09-03 15:00,94.85,95.03,94.35,94.90,166000.00,7806,94.70
1996-09-04 15:00,95.53,95.54,94.77,94.99,162990.00,6312,95.14
1996-09-05 15:00,94.70,95.14,94.64,95.08,166395.00,3933,94.90
1996-09-06 15:00,93.07,93.43,93.06,93.29,173030.00,12236,93.25
1996-09-09 15:00,93.13,93.31,92.98,93.03,34112.00,2170,93.13
1996-09-10 15:00,92.78,92.84,92.55,92.68,34276.00,4119,92.70
1996-09-11 15:00,92.59,92.83,92.29,92.44,34172.00,1696,92.56
1996-09-12 15:00,91.28,91.72,90.72,91.31,37101.00,8692,91.23
1996-09-13 15:00,90.98,91.83,90.89,91.77,37741.00,5969,91.39
1996-09-16 15:00,91.91,92.00,91.68,91.77,36410.00,2764,91.83
