日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2009-03-27 15:00,131.16,134.64,129.26,131.02,23472.00,180114,131.60
2009-03-30 15:00,130.61,131.71,129.83,130.41,24864.00,72944,130.53
2009-03-31 15:00,130.18,131.20,129.93,130.59,22959.00,35501,130.57
2009-04-01 15:00,131.00,131.02,130.39,130.53,21618.00,14194,130.57
2009-04-02 15:00,130.46,130.57,127.18,127.81,35194.00,118240,128.07
2009-04-03 15:00,128.10,128.10,126.50,126.90,38534.00,76937,127.19
2009-04-07 15:00,126.04,129.44,126.04,128.47,51361.00,121732,128.10
2009-04-08 15:00,128.06,128.46,127.18,127.45,47073.00,73857,127.66
2009-04-09 15:00,127.93,128.29,127.33,127.62,48584.00,44050,127.74
2009-04-10 15:00,128.17,128.79,127.69,128.22,51343.00,60887,128.25
2009-04-13 15:00,128.26,128.55,127.50,127.68,56135.00,55446,128.10
2009-04-14 15:00,127.89,132.44,127.67,131.00,76763.00,270929,130.90
2009-04-15 15:00,131.36,132.10,130.64,131.09,77449.00,128295,131.23
2009-04-16 15:00,131.82,133.49,131.42,132.34,86495.00,125617,132.37
2009-04-17 15:00,132.27,134.25,131.81,133.23,111993.00,170475,133.29
2009-04-20 15:00,133.22,134.24,133.04,133.33,121331.00,130452,133.66
2009-04-21 15:00,131.75,132.12,128.43,129.69,122165.00,166578,130.24
2009-04-22 15:00,130.65,131.24,129.11,129.77,118935.00,84519,130.13
2009-04-23 15:00,129.88,129.96,128.38,129.30,119026.00,65555,129.06
2009-04-24 15:00,129.29,129.62,128.71,128.86,125683.00,51002,129.02
2009-04-27 15:00,129.18,129.55,128.51,128.78,129941.00,51479,128.99
2009-04-28 15:00,128.66,129.37,128.66,129.06,134053.00,48676,129.06
2009-04-29 15:00,129.06,129.54,128.92,129.54,140314.00,51462,129.21
2009-04-30 15:00,130.13,131.50,129.65,130.73,152187.00,124571,130.35
2009-05-04 15:00,131.47,134.65,131.47,133.78,166556.00,287835,133.33
2009-05-05 15:00,133.78,134.07,131.42,131.63,158568.00,88399,132.00
2009-05-06 15:00,131.67,132.40,131.49,132.26,160358.00,52155,132.11
2009-05-07 15:00,133.49,133.57,132.15,132.22,163302.00,75646,132.74
2009-05-08 15:00,132.44,133.05,132.11,132.98,165330.00,52073,132.52
2009-05-11 15:00,133.02,135.32,132.69,133.89,173362.00,168590,134.25
2009-05-12 15:00,134.10,134.65,133.56,134.11,173511.00,97025,134.17
2009-05-13 15:00,134.48,134.55,133.71,133.89,174044.00,59500,134.14
2009-05-14 15:00,133.06,133.21,132.10,132.25,171970.00,70400,132.37
2009-05-15 15:00,132.47,133.12,132.32,132.61,172883.00,66447,132.67
2009-05-18 15:00,132.28,132.90,131.77,132.76,172202.00,52664,132.30
2009-05-19 15:00,133.57,133.57,132.88,133.13,171610.00,47998,133.07
2009-05-20 15:00,133.06,134.07,132.91,133.13,172753.00,59692,133.33
2009-05-21 15:00,133.20,134.00,133.13,133.34,174986.00,59029,133.51
2009-05-22 15:00,133.16,133.45,132.76,133.13,174087.00,30423,133.07
2009-05-25 15:00,133.53,133.53,132.47,132.80,180680.00,48059,132.70
2009-05-26 15:00,132.80,133.20,132.33,132.52,175601.00,57233,132.67
2009-05-27 15:00,133.51,133.51,132.70,132.85,172470.00,23312,132.81
2009-06-01 15:00,133.58,134.56,133.40,134.20,177131.00,97220,134.03
2009-06-02 15:00,134.68,135.48,134.39,134.50,176050.00,100320,134.76
2009-06-03 15:00,134.64,135.12,134.53,135.05,176544.00,52971,134.84
2009-06-04 15:00,134.31,136.57,134.25,136.15,186436.00,185970,135.87
2009-06-05 15:00,136.92,139.00,136.88,138.20,177374.00,134644,138.11
2009-06-08 15:00,138.17,139.56,137.88,139.38,179079.00,147884,138.70
2009-06-09 15:00,139.72,140.05,138.65,139.06,177447.00,108166,139.14
2009-06-10 15:00,139.53,140.31,138.87,140.13,179971.00,120022,139.73
2009-06-11 15:00,140.22,144.92,140.14,142.71,195192.00,319476,142.34
2009-06-12 15:00,143.09,144.50,141.19,142.21,184078.00,296765,143.26
2009-06-15 15:00,141.87,142.68,140.74,141.64,179940.00,185033,141.68
2009-06-16 15:00,140.91,142.85,140.89,142.25,179054.00,181665,142.19
2009-06-17 15:00,142.10,142.72,141.38,141.78,177842.00,109626,141.93
2009-06-18 15:00,141.77,142.26,140.98,141.42,173026.00,97001,141.53
